,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
17,000021,深科技,7.91,5.19,3,2,17,6.17,5.19,26.36
287,000760,斯太尔,3.79,0.26,13,16,13,26.33,29.35,26.33
1389,300027,华谊兄弟,5.81,4.31,2,2,16,4.31,4.31,26.3
1745,300392,腾信股份,8.55,3.01,3,2,17,3.51,3.01,26.29
545,002092,中泰化学,9.42,3.86,4,8,18,6.92,13.91,26.27
3141,603111,康尼机电,5.24,2.34,3,18,15,1.55,30.67,26.27
570,002117,东港股份,17.65,3.82,3,2,18,4.13,3.82,26.25
373,000897,津滨发展,3.03,10.18,2,2,15,10.18,10.18,26.25
1209,002776,柏堡龙,25.11,-0.04,8,8,8,26.24,26.24,26.24
1643,300288,朗玛信息,16.02,5.05,4,18,17,5.39,29.72,26.24
2574,600602,云赛智联,6.88,6.01,4,8,18,10.97,16.22,26.24
735,002285,世联行,6.16,1.82,2,2,18,1.82,1.82,26.23
2605,600639,浦东金桥,14.69,7.7,3,2,18,9.63,7.7,26.2
1022,002577,雷柏科技,12.75,0.0,2,2,16,0.0,0.0,26.11
2325,600283,钱江水利,13.62,6.99,2,2,15,6.99,6.99,26.11
565,002112,三变科技,8.21,10.05,8,7,7,32.42,26.11,26.11
1336,002916,深南电路,118.24,1.35,4,8,19,2.11,7.67,26.1
3062,601989,中国重工,5.56,0.18,8,8,17,17.8,17.8,26.08
377,000901,航天科技,13.06,4.06,2,2,17,4.06,4.06,26.06
1809,300456,耐威科技,31.42,3.7,2,2,18,3.7,3.7,26.03
1092,002651,利君股份,5.81,10.04,4,8,15,14.37,20.29,26.03
2691,600734,实达集团,9.01,3.8,4,4,17,4.28,4.28,26.01
1648,300293,蓝英装备,9.50,4.4,3,8,17,7.95,16.71,25.99
2791,600845,宝信软件,31.42,4.14,3,2,20,8.34,4.14,25.98
1997,300655,晶瑞股份,17.60,3.83,3,8,17,4.58,14.96,25.98
2375,600343,航天动力,10.38,3.9,8,17,16,12.22,27.52,25.97
517,002063,远光软件,8.78,7.73,4,8,17,9.48,12.85,25.97
1976,300633,开立医疗,31.73,-1.21,-1,18,18,0.0,25.96,25.96
787,002338,奥普光电,14.63,10.0,2,17,15,10.0,28.79,25.9
