,股票代码,股票名称,最新价,涨幅,3日均线,5日均线,10日均线,3日均线涨幅,5日均线涨幅,10日均线涨幅
667,002230,科大讯飞,37.99,-0.68,-1,10,10,0.0,23.79,23.79
2830,601038,一拖股份,5.52,2.99,3,9,16,5.75,13.81,23.77
445,001965,招商公路,10.10,10.02,4,4,26,11.48,11.48,23.77
2983,601999,出版传媒,6.62,-0.15,-1,20,19,0.0,26.34,23.74
1302,002909,集泰股份,12.30,0.9,6,6,18,9.63,9.63,23.74
1676,300360,炬华科技,9.44,0.43,6,20,19,13.33,29.14,23.72
73,000404,长虹华意,5.01,3.94,4,4,18,9.15,9.15,23.7
2700,600824,益民集团,4.23,2.92,10,19,18,14.95,25.52,23.68
2910,601599,鹿港文化,3.97,3.93,3,3,20,3.93,3.93,23.68
3283,603701,德宏股份,13.69,3.17,6,19,18,7.37,24.91,23.67
2513,600605,汇通能源,11.97,4.91,5,20,19,10.83,26.53,23.66
579,002142,宁波银行,19.91,-0.95,-1,10,41,0.0,9.7,23.66
858,002430,杭氧股份,12.39,4.38,5,10,20,8.88,12.13,23.65
3159,603359,东珠生态,19.10,0.63,-2,10,17,0.63,16.11,23.62
2259,600272,开开实业,9.27,-1.49,-1,10,18,0.0,17.34,23.6
572,002134,天津普林,7.44,3.05,4,4,18,8.93,8.93,23.59
1320,002931,锋龙股份,37.88,5.11,3,6,17,8.98,9.29,23.59
861,002433,太安堂,6.13,1.16,4,19,18,7.73,26.92,23.59
1207,002805,丰元股份,17.51,0.06,4,4,17,8.62,8.62,23.57
1359,300029,天龙光电,5.82,2.46,4,9,18,8.79,9.19,23.57
1268,002871,伟隆股份,25.96,-0.15,6,10,17,10.14,17.41,23.56
1925,300627,华测导航,20.61,0.44,-1,4,19,0.0,6.51,23.56
2673,600794,保税科技,3.41,0.89,4,3,19,10.36,6.23,23.55
3111,603259,药明康德,95.38,-2.95,-1,-1,20,0.0,0.0,23.55
141,000558,莱茵体育,3.83,0.0,4,4,17,10.69,10.69,23.55
2275,600290,华仪电气,5.77,1.41,4,4,16,9.9,9.9,23.55
25,000032,深桑达Ａ,9.50,1.28,6,4,21,6.5,6.26,23.54
2222,600227,圣济堂,3.78,3.85,3,10,19,5.59,17.76,23.53
1818,300509,新美星,13.23,-2.0,-1,20,17,0.0,29.33,23.53
